conservation_score,mutation_frequency,retrogene_variability,sequence_identity,mean_blosum,std_blosum,damaging_fraction,hotspot_count,weighted_mutation_burden,target_score
0.49963209507789,0.07655000144869413,0.5003679049221099,0.49963209507789,4.295377076201385,2.7184238851264206,0.15601864044243652,5,0.3288111214059036,-0.0017154142765134217
0.27997993265440235,0.04214742243761071,0.7200200673455976,0.27997993265440235,1.2295393086168112,1.1702492156222797,0.6508884729488529,3,0.05182191264392055,0.283916109230962
0.9759278817295955,0.06827098485602953,0.024072118270404452,0.9759278817295955,1.83824373195297,1.0798641542574818,0.18340450985343382,6,0.12549870998585244,-0.30724045550158763
0.6893225283906248,0.010494641365380218,0.3106774716093752,0.6893225283906248,3.044443653223966,1.1577656691173237,0.3998609717152555,6,0.0319503442976935,-0.08881615103746765
0.43371571882817456,0.03564532903055842,0.5662842811718254,0.43371571882817456,5.931297537843108,1.3193789596107715,0.19967378215835974,5,0.2114230523145586,-0.0017907704840804672
0.9865847086454307,0.0426734025273586,0.013415291354569314,0.9865847086454307,3.8340222193263505,2.165969485696925,0.450499251969543,4,0.16361077346415012,-0.14474647299712196
0.9591084298026666,0.07759424231521915,0.04089157019733336,0.9591084298026666,1.7994922997881766,2.257951856837311,0.09767211400638387,6,0.13963024155413475,-0.34182057718128334
0.3928203728208094,0.057828446317782084,0.6071796271791906,0.3928203728208094,5.260456387794074,1.798495131783535,0.17336465350777208,3,0.30420401982858347,0.04663874752102659
0.40702398528001354,0.056376559904778745,0.5929760147199865,0.40702398528001354,3.417727190009511,0.0677360991038205,0.5467102793432796,4,0.19267970166576232,0.21849902360369952
0.22505063396444688,0.0689599342216499,0.7749493660355531,0.22505063396444688,-1.3566684936474172,0.6648828734121319,0.9266588657937942,5,0.09355577008251073,0.5015802907935523
0.9374993880184934,0.016194475143634365,0.06250061198150658,0.9374993880184934,0.9818293142697847,0.23336462917048983,0.2713490317738959,3,0.0159002104252336,-0.2947218482317254
0.6694009325310786,0.07756787150848966,0.3305990674689214,0.6694009325310786,-0.019914564433217485,2.0772019698869166,0.2962735057040824,3,0.0015447303751033523,-0.1330481092405016
0.2596405149438167,0.0790820855620362,0.7403594850561833,0.2596405149438167,1.6461559993880825,1.9893410310726942,0.005522117123602399,5,0.13018144959206757,-0.05070978169230901
0.35907392327104415,0.05979393669240551,0.6409260767289559,0.35907392327104415,3.9520851748539436,2.542929014718867,0.926300878513349,4,0.23631073074821105,0.4887060387794933
0.2926952476201038,0.07041723981129155,0.7073047523798962,0.2926952476201038,-0.016306579094965468,2.3797175806278563,0.06355835028602363,5,0.001148264290631977,-0.08662813597879745
0.7350730021308858,0.05661456496322477,0.2649269978691142,0.7350730021308858,-0.14831057388810942,2.010362354579912,0.5612434258477011,5,0.008396538620121519,-0.01044746061980617
0.29567539675064136,0.05992713510560966,0.7043246032493586,0.29567539675064136,3.722791211016828,2.730429253172775,0.770967179954561,5,0.22309621187258166,0.4219592348781315
